term,slug,parent,meta_position,full-slug,id
新白岡,shin-shiraoka,JR宇都宮線,4,jr-utsunomiya-shin-shiraoka,48
白岡,shiraoka,JR宇都宮線,5,jr-utsunomiya-shiraoka,49
蓮田,hasuda,JR宇都宮線,6,jr-utsunomiya-hasuda,50
東大宮,higashi-oomiya,JR宇都宮線,7,jr-utsunomiya-higashi-oomiya,51
土呂,toro,JR宇都宮線,8,jr-utsunomiya-toro,52
大宮,oomiya,JR宇都宮線,9,jr-utsunomiya-oomiya,53
さいたま新都心,saitama-shintoshin,JR宇都宮線,10,jr-utsunomiya-saitama-shintoshin,54
浦和,urawa,JR宇都宮線,11,jr-utsunomiya-urawa,55
赤羽,akabane,JR宇都宮線,12,jr-utsunomiya-akabane,56
JR武蔵野線,jr-musashino,0,0,,57
新秋津,shin-akitsu,JR武蔵野線,1,jr-musashino-shin-akitsu,58
東所沢,higashi-tokorozawa,JR武蔵野線,2,jr-musashino-higashi-tokorozawa,59
新座,niiza,JR武蔵野線,3,jr-musashino-niiza,60
北朝霞,kita-asaka,JR武蔵野線,4,jr-musashino-kita-asaka,61
西浦和,nishi-urawa,JR武蔵野線,5,jr-musashino-nishi-urawa,62
武蔵浦和,musashi-urawa,JR武蔵野線,6,jr-musashino-musashi-urawa,63
南浦和,minami-urawa,JR武蔵野線,7,jr-musashino-minami-urawa,64
東浦和,higashi-urawa,JR武蔵野線,8,jr-musashino-higashi-urawa,65
東川口,higashi-kawaguchi,JR武蔵野線,9,jr-musashino-higashi-kawaguchi,66
南越谷,minami-koshigaya,JR武蔵野線,10,jr-musashino-minami-koshigaya,67
越谷レイクタウン,koshigaya-laketown,JR武蔵野線,11,jr-musashino-koshigaya-laketown,68
吉川,yoshikawa,JR武蔵野線,12,jr-musashino-yoshikawa,69
吉川美南,yoshikawa-minami,JR武蔵野線,13,jr-musashino-yoshikawa-minami,70
新三郷,shim-misato,JR武蔵野線,14,jr-musashino-shim-misato,71
三郷,misato,JR武蔵野線,15,jr-musashino-misato,72
南流山,minami-nagareyama,JR武蔵野線,16,jr-musashino-minami-nagareyama,73
JR八高線,jr-hachiko,0,0,,74
寄居,yorii,JR八高線,1,jr-hachiko-yorii,75
折原,orihara,JR八高線,2,jr-hachiko-orihara,76
竹沢,takesawa,JR八高線,3,jr-hachiko-takesawa,77
小川町,ogawamachi,JR八高線,4,jr-hachiko-ogawamachi,78
明覚,myokaku,JR八高線,5,jr-hachiko-myokaku,79
越生,ogose,JR八高線,6,jr-hachiko-ogose,80
毛呂,moro,JR八高線,7,jr-hachiko-moro,81
高麗川,komagawa,JR八高線,8,jr-hachiko-komagawa,82
東飯能,higashi-hanno,JR八高線,9,jr-hachiko-higashi-hanno,83
金子,kaneko,JR八高線,10,jr-hachiko-kaneko,84
箱根ヶ崎,hakonegasaki,JR八高線,11,jr-hachiko-hakonegasaki,85
JR川越線,jr-kawagoe,0,0,,86
高麗川,komagawa,JR川越線,1,jr-kawagoe-komagawa,87
武蔵高萩,musashi-takahagi,JR川越線,2,jr-kawagoe-musashi-takahagi,88
笠幡,kasahata,JR川越線,3,jr-kawagoe-kasahata,89
的場,matoba,JR川越線,4,jr-kawagoe-matoba,90
西川越,nishi-kawagoe,JR川越線,5,jr-kawagoe-nishi-kawagoe,91
川越,kawagoe,JR川越線,6,jr-kawagoe-kawagoe,92
南古谷,minami-furuya,JR川越線,7,jr-kawagoe-minami-furuya,93
指扇,sashiogi,JR川越線,8,jr-kawagoe-sashiogi,94
西大宮,nishi-omiya,JR川越線,9,jr-kawagoe-nishi-omiya,95
日進,nisshin,JR川越線,10,jr-kawagoe-nisshin,96
大宮,omiya,JR川越線,11,jr-kawagoe-omiya,97
秩父鉄道,chichibu,0,0,,98
羽生,hanyu,秩父鉄道,1,chichibu-hanyu,99
西羽生,nishi-hanyu,秩父鉄道,2,chichibu-nishi-hanyu,100
新郷,shingou,秩父鉄道,3,chichibu-shingou,101
武州荒木,bushuaraki,秩父鉄道,4,chichibu-bushuaraki,102
東行田,higashi-gyoda,秩父鉄道,5,chichibu-higashi-gyoda,103
行田市,gyodashi,秩父鉄道,6,chichibu-gyodashi,104
持田,mochida,秩父鉄道,7,chichibu-mochida,105
熊谷,kumagaya,秩父鉄道,8,chichibu-kumagaya,106
上熊谷,kami-kumagaya,秩父鉄道,9,chichibu-kami-kumagaya,107
石原,ishihara,秩父鉄道,10,chichibu-ishihara,108
桜沢,sakurazawa,秩父鉄道,11,chichibu-sakurazawa,109
寄居,yorii,秩父鉄道,12,chichibu-yorii,110
波久礼,hagure,秩父鉄道,13,chichibu-hagure,111
大野原,onohara,秩父鉄道,14,chichibu-onohara,112
秩父,chichibu,秩父鉄道,15,chichibu-chichibu,113
御花畑,ohanabatake,秩父鉄道,16,chichibu-ohanabatake,114
影森,kagemori,秩父鉄道,17,chichibu-kagemori,115
埼玉高速鉄道,saitama-kosoku,0,0,,116
浦和美園,urawamisono,埼玉高速鉄道,1,saitama-kosoku-urawamisono,117
東川口,higashi-kawaguchi,埼玉高速鉄道,2,saitama-kosoku-higashi-kawaguchi,118
戸塚安行,totuka-angyo,埼玉高速鉄道,3,saitama-kosoku-totuka-angyo,119
新井宿,araijuku,埼玉高速鉄道,4,saitama-kosoku-araijuku,120
鳩ヶ谷,hatogaya,埼玉高速鉄道,5,saitama-kosoku-hatogaya,121
南鳩ケ谷,minami-hatogaya,埼玉高速鉄道,6,saitama-kosoku-minami-hatogaya,122
川口元郷,kawaguchi-motogo,埼玉高速鉄道,7,saitama-kosoku-kawaguchi-motogo,123
赤羽岩淵,akabane-iwabuchi,埼玉高速鉄道,8,saitama-kosoku-akabane-iwabuchi,124
ニューシャトル,new-shuttle,0,0,,125
内宿,uchijuku,ニューシャトル,1,new-shuttle-uchijuku,126
羽貫,hanuki,ニューシャトル,2,new-shuttle-hanuki,127
伊奈中央,ina-chuo,ニューシャトル,3,new-shuttle-ina-chuo,128
志久,shiku,ニューシャトル,4,new-shuttle-shiku,129
丸山,maruyama,ニューシャトル,5,new-shuttle-maruyama,130
沼南,shonan,ニューシャトル,6,new-shuttle-shonan,131
原市,haraichi,ニューシャトル,7,new-shuttle-haraichi,132
吉野原,yoshinohara,ニューシャトル,8,new-shuttle-yoshinohara,133
今羽,komba,ニューシャトル,9,new-shuttle-komba,134
東宮原,higashi-miyahara,ニューシャトル,10,new-shuttle-higashi-miyahara,135
加茂宮,kamomiya,ニューシャトル,11,new-shuttle-kamomiya,136
鉄道博物館,tetsudo-hakubutsukan,ニューシャトル,12,new-shuttle-tetsudo-hakubutsukan,137
大宮,omiya,ニューシャトル,13,new-shuttle-omiya,138
東武東上線,tobu-tojo,0,0,,139
東松山,higashi-matsuyama,東武東上線,1,tobu-tojo-higashi-matsuyama,140
高坂,takasaka,東武東上線,2,tobu-tojo-takasaka,141
北坂戸,kita-sakado,東武東上線,3,tobu-tojo-kita-sakado,142
坂戸,sakado,東武東上線,4,tobu-tojo-sakado,143
若葉,wakaba,東武東上線,5,tobu-tojo-wakaba,144
鶴ヶ島,turugashima,東武東上線,6,tobu-tojo-turugashima,145
霞ヶ関,kasumigaseki,東武東上線,7,tobu-tojo-kasumigaseki,146
川越市,kawagoeshi,東武東上線,8,tobu-tojo-kawagoeshi,147
川越,kawagoe,東武東上線,9,tobu-tojo-kawagoe,148
新河岸,shingashi,東武東上線,10,tobu-tojo-shingashi,149
上福岡,kami-fukuoka,東武東上線,11,tobu-tojo-kami-fukuoka,150
ふじみ野,fujimino,東武東上線,12,tobu-tojo-fujimino,151
鶴瀬,turuse,東武東上線,13,tobu-tojo-turuse,152
みずほ台,mizuhodai,東武東上線,14,tobu-tojo-mizuhodai,153
柳瀬川,yanasegawa,東武東上線,15,tobu-tojo-yanasegawa,154
志木,shiki,東武東上線,16,tobu-tojo-shiki,155
朝霞台,asakadai,東武東上線,17,tobu-tojo-asakadai,156
朝霞,asaka,東武東上線,18,tobu-tojo-asaka,157
和光市,wakoushi,東武東上線,19,tobu-tojo-wakoushi,158
成増,narimasu,東武東上線,20,tobu-tojo-narimasu,159
東武伊勢崎線,tobu-isesaki,0,0,,160
川俣,kawamata,東武伊勢崎線,1,tobu-isesaki-kawamata,161
羽生,hanyu,東武伊勢崎線,2,tobu-isesaki-hanyu,162
南羽生,minami-hanyu,東武伊勢崎線,3,tobu-isesaki-minami-hanyu,163
加須,kazo,東武伊勢崎線,4,tobu-isesaki-kazo,164
花崎,hanasaki,東武伊勢崎線,5,tobu-isesaki-hanasaki,165
鷲宮,washinomiya,東武伊勢崎線,6,tobu-isesaki-washinomiya,166
久喜,kuki,東武伊勢崎線,7,tobu-isesaki-kuki,167
和戸,wado,東武伊勢崎線,8,tobu-isesaki-wado,168
東武動物公園,tobu-doubutsu-koen,東武伊勢崎線,9,tobu-isesaki-tobu-doubutsu-koen,169
姫宮,himemiya,東武伊勢崎線,10,tobu-isesaki-himemiya,170
北春日部,kita-kasukabe,東武伊勢崎線,11,tobu-isesaki-kita-kasukabe,171
春日部,kasukabe,東武伊勢崎線,12,tobu-isesaki-kasukabe,172
一ノ割,ichinowari,東武伊勢崎線,13,tobu-isesaki-ichinowari,173
武里,takesato,東武伊勢崎線,14,tobu-isesaki-takesato,174
せんげん台,sengendai,東武伊勢崎線,15,tobu-isesaki-sengendai,175
大袋,obukuruo,東武伊勢崎線,16,tobu-isesaki-obukuruo,176
北越谷,kita-koshigaya,東武伊勢崎線,17,tobu-isesaki-kita-koshigaya,177
越谷,koshigaya,東武伊勢崎線,18,tobu-isesaki-koshigaya,178
新越谷,shin-koshigaya,東武伊勢崎線,19,tobu-isesaki-shin-koshigaya,179
蒲生,gamo,東武伊勢崎線,20,tobu-isesaki-gamo,180
新田,shinden,東武伊勢崎線,21,tobu-isesaki-shinden,181
獨協大学前,dokkyodaigakumae,東武伊勢崎線,22,tobu-isesaki-dokkyodaigakumae,182
草加,soka,東武伊勢崎線,23,tobu-isesaki-soka,183
谷塚,yatsuka,東武伊勢崎線,24,tobu-isesaki-yatsuka,184
竹の塚,takenotsuka,東武伊勢崎線,25,tobu-isesaki-takenotsuka,185
東武野田線,tobu-noda,0,0,,186
大宮,omiya,東武野田線,1,tobu-noda-omiya,187
北大宮,kita-omiya,東武野田線,2,tobu-noda-kita-omiya,188
大宮公園,omiya-koen,東武野田線,3,tobu-noda-omiya-koen,189
大和田,owada,東武野田線,4,tobu-noda-owada,190
七里,nanasato,東武野田線,5,tobu-noda-nanasato,191
岩槻,iwatsuki,東武野田線,6,tobu-noda-iwatsuki,192
東岩槻,higashi-iwatsuki,東武野田線,7,tobu-noda-higashi-iwatsuki,193
豊春,toyoharu,東武野田線,8,tobu-noda-toyoharu,194
八木崎,yagisaki,東武野田線,9,tobu-noda-yagisaki,195
春日部,kasukabe,東武野田線,10,tobu-noda-kasukabe,196
藤の牛島,fujino-ushijima,東武野田線,11,tobu-noda-fujino-ushijima,197
東武越生線,tobu-ogose,0,0,,198
越生,ogose,東武越生線,1,tobu-ogose-ogose,199
武州唐沢,bushu-karasawa,東武越生線,2,tobu-ogose-bushu-karasawa,200
東毛呂,higashi-moro,東武越生線,3,tobu-ogose-higashi-moro,201
武州長瀞,bushu-nagatoro,東武越生線,4,tobu-ogose-bushu-nagatoro,202
川角,kawakado,東武越生線,5,tobu-ogose-kawakado,203
西大家,nishi-oya,東武越生線,6,tobu-ogose-nishi-oya,204
一本松,ippommatsu,東武越生線,7,tobu-ogose-ippommatsu,205
坂戸,sakado,東武越生線,8,tobu-ogose-sakado,206
東武日光線,tobu-nikko,0,0,,207
東武動物公園,tobu-dobutsu-koen,東武日光線,1,tobu-nikko-tobu-dobutsu-koen,208
杉戸高野台,sugito-takanodai,東武日光線,2,tobu-nikko-sugito-takanodai,209
幸手,satte,東武日光線,3,tobu-nikko-satte,210
南栗橋,minami-kurihashi,東武日光線,4,tobu-nikko-minami-kurihashi,211
栗橋,kurihashi,東武日光線,5,tobu-nikko-kurihashi,212
新古河,shin-koga,東武日光線,6,tobu-nikko-shin-koga,213
西武新宿線,seibu-shinjuku,0,0,,214
本川越,hon-kawagoe,西武新宿線,1,seibu-shinjuku-hon-kawagoe,215
南大塚,minami-otsuka,西武新宿線,2,seibu-shinjuku-minami-otsuka,216
新狭山,shin-sayama,西武新宿線,3,seibu-shinjuku-shin-sayama,217
狭山市,sayamashi,西武新宿線,4,seibu-shinjuku-sayamashi,218
入曽,iriso,西武新宿線,5,seibu-shinjuku-iriso,219
新所沢,shin-tokorozawa,西武新宿線,6,seibu-shinjuku-shin-tokorozawa,220
航空公園,koku-koen,西武新宿線,7,seibu-shinjuku-koku-koen,221
所沢,tokorozawa,西武新宿線,8,seibu-shinjuku-tokorozawa,222
東村山,higashi-murayama,西武新宿線,9,seibu-shinjuku-higashi-murayama,223
西武池袋線,seibu-ikebukuro,0,0,,224
飯能,hanno,西武池袋線,1,seibu-ikebukuro-hanno,225
元加治,motokaji,西武池袋線,2,seibu-ikebukuro-motokaji,226
仏子,bushi,西武池袋線,3,seibu-ikebukuro-bushi,227
入間市,irumashi,西武池袋線,4,seibu-ikebukuro-irumashi,228
稲荷山公園,inariyama-koen,西武池袋線,5,seibu-ikebukuro-inariyama-koen,229
武蔵藤沢,musashi-fujisawa,西武池袋線,6,seibu-ikebukuro-musashi-fujisawa,230
狭山ヶ丘,sayamagaoka,西武池袋線,7,seibu-ikebukuro-sayamagaoka,231
小手指,kotesashi,西武池袋線,8,seibu-ikebukuro-kotesashi,232
西所沢,nishi-tokorozawa,西武池袋線,9,seibu-ikebukuro-nishi-tokorozawa,233
所沢,tokorozawa,西武池袋線,10,seibu-ikebukuro-tokorozawa,234
秋津,akitsu,西武池袋線,11,seibu-ikebukuro-akitsu,235
西武秩父線,seibu-chichibu,0,0,,236
西武秩父,seibu-chichibu,西武秩父線,1,seibu-chichibu-seibu-chichibu,237
横瀬,yokose,西武秩父線,2,seibu-chichibu-yokose,238
芦ヶ久保,ashigakubo,西武秩父線,3,seibu-chichibu-ashigakubo,239
正丸,shomaru,西武秩父線,4,seibu-chichibu-shomaru,240
西吾野,nishi-agano,西武秩父線,5,seibu-chichibu-nishi-agano,241
吾野,agano,西武秩父線,6,seibu-chichibu-agano,242
東吾野,higashi-agano,西武秩父線,7,seibu-chichibu-higashi-agano,243
武蔵横手,musashi-yokote,西武秩父線,8,seibu-chichibu-musashi-yokote,244
高麗,koma,西武秩父線,9,seibu-chichibu-koma,245
東飯能,higashi-hanno,西武秩父線,10,seibu-chichibu-higashi-hanno,246
飯能,hanno,西武秩父線,11,seibu-chichibu-hanno,247
つくばエクスプレス,tsukuba-express,0,0,,248
南流山,minami-nagareyama,つくばエクスプレス,1,tsukuba-express-minami-nagareyama,249
三郷中央,misato-chuo,つくばエクスプレス,2,tsukuba-express-misato-chuo,250
八潮,yashio,つくばエクスプレス,3,tsukuba-express-yashio,251
六町,rokucho,つくばエクスプレス,4,tsukuba-express-rokucho,252
